Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity	Median_Similarity	Similarity_SD
band1344	Banda-Bambari	Africa	Atlantic-Congo	176	68.5124080267558	68.63	5.74630739285545
bang1354	Bobangi	Africa	Atlantic-Congo	151	64.4205894648829	64.09	7.4173099078348
bang1363	Bangime	Africa		127	66.3174331103679	66.36	6.93484877228612
bang1369	Bangru	Eurasia	Sino-Tibetan	151	71.079360367893	71.13	7.99309122742081
bani1255	Baniwa do Icana	South America	Arawakan	85	54.5248662207358	54.29	7.17052712177971
bank1256	Bankon	Africa	Atlantic-Congo	78	65.7406362494768	65.38	7.48813363420154
bann1247	Bannoni	Papunesia	Austronesian	72	65.0215050167224	64.18	10.2553616946889
bant1281	Bantawa	Eurasia	Sino-Tibetan	181	64.3345025083612	64.25	6.78247167663284
bant1288	Bantoanon	Papunesia	Austronesian	124	68.3472282608696	68.85	8.32079957781244
bara1357	Baraamu	Eurasia	Sino-Tibetan	171	67.1444857859532	67.005	7.08828978657767
bara1361	Barambu	Africa	Atlantic-Congo	128	67.0085869565217	67.23	5.9472910591853
bara1369	Bara Malagasy	Africa	Austronesian	126	63.2797324414716	63.675	6.50728078635303
bara1370	Baram Kayan	Papunesia	Austronesian	143	70.6874414715719	70.71	8.62388396920229
bara1380	Barasana-Eduria	South America	Tucanoan	65	52.8644081974069	52.83	7.23488646996656
bard1255	Bardi	Australia	Nyulnyulan	94	58.333758361204	58.23	6.65884955054688
bare1276	Baré	South America	Arawakan	117	63.6636245819398	63.48	5.54238515041412
bare1279	Barain	Africa	Afro-Asiatic	125	63.0816889632107	63.55	5.78630929269199
barg1252	Bargam	Papunesia	Nuclear Trans New Guinea	152	62.0009406354515	62.33	6.3094784732645
bari1286	Bariai	Papunesia	Austronesian	176	68.5630434782609	68.385	6.89704778803924
baro1253	Barok	Papunesia	Austronesian	165	64.8466555183947	64.75	7.58603950254883
basa1282	Basa (Nigeria)	Africa	Atlantic-Congo	115	68.7483695652174	69.47	6.16732288237515
basa1287	Basay	Papunesia	Austronesian	106	70.503106187291	71.17	6.70059739469926
bash1264	Bashkir	Eurasia	Turkic	161	67.4263252508361	66.67	7.68822876091203
basq1248	Basque	Eurasia		188	64.7723244147157	65.09	5.31113371246586
bata1285	Batanga	Africa	Atlantic-Congo	113	67.0491387959866	66.67	6.7401154984637
bata1289	Batak Toba	Papunesia	Austronesian	168	67.3645610367893	67.535	6.98595436586591
bata1293	Batak Karo	Papunesia	Austronesian	103	62.0566471571906	62.37	7.07965226889821
